Date,High,Low,Closing,Value Traded,No. of Trans,No. of Shares
28/04/2022,0.63,0.61,0.63,27713,36,44895
27/04/2022,0.64,0.62,0.62,28077,70,45196
26/04/2022,0.65,0.64,0.64,15971,45,24916
24/04/2022,0.69,0.69,0.69,8234,3,11934
21/04/2022,0.7,0.68,0.68,15307,29,22050
20/04/2022,0.69,0.68,0.69,2821,7,4128
19/04/2022,0.68,0.67,0.68,2850,4,4250
18/04/2022,0.67,0.67,0.67,315,1,470
14/04/2022,0.67,0.66,0.66,2741,9,4150
12/04/2022,0.66,0.66,0.66,18,1,27
11/04/2022,0.66,0.66,0.66,3364,8,5097
10/04/2022,0.66,0.66,0.66,187,1,284
07/04/2022,0.66,0.66,0.66,1212,3,1836
06/04/2022,0.67,0.67,0.67,1985,6,2962
03/04/2022,0.68,0.68,0.68,537,2,790
31/03/2022,0.67,0.67,0.67,13400,1,20000
30/03/2022,0.67,0.67,0.67,190,1,284
24/03/2022,0.67,0.67,0.67,214,2,320
23/03/2022,0.67,0.67,0.67,2680,8,4000
21/03/2022,0.68,0.67,0.68,870,2,1284
15/03/2022,0.68,0.67,0.67,5353,5,7900
08/03/2022,0.68,0.68,0.68,680,2,1000
07/03/2022,0.68,0.68,0.68,84,1,123
02/03/2022,0.68,0.68,0.68,1428,4,2100
28/02/2022,0.69,0.68,0.68,6130,7,9000
27/02/2022,0.69,0.69,0.69,902,2,1307
24/02/2022,0.69,0.68,0.68,900,3,1309
23/02/2022,0.7,0.69,0.69,10390,11,15000
22/02/2022,0.69,0.68,0.69,5507,11,8010
21/02/2022,0.68,0.68,0.68,68,1,100
20/02/2022,0.68,0.67,0.68,4501,5,6627
17/02/2022,0.68,0.68,0.68,34,1,50
16/02/2022,0.68,0.68,0.68,153,1,225
14/02/2022,0.68,0.68,0.68,2142,3,3150
13/02/2022,0.67,0.67,0.67,2010,2,3000
08/02/2022,0.68,0.67,0.67,1289,7,1917
06/02/2022,0.68,0.68,0.68,2346,8,3450
03/02/2022,0.7,0.69,0.69,562,3,810
30/01/2022,0.69,0.69,0.69,1173,5,1700
26/01/2022,0.7,0.7,0.7,281,3,402
25/01/2022,0.7,0.69,0.69,2650,6,3840
20/01/2022,0.69,0.68,0.69,2171,6,3182
19/01/2022,0.69,0.69,0.69,1330,4,1928
18/01/2022,0.69,0.69,0.69,198,1,287
17/01/2022,0.68,0.68,0.68,727,3,1069
16/01/2022,0.68,0.68,0.68,3400,2,5000
13/01/2022,0.68,0.68,0.68,4518,3,6644
12/01/2022,0.69,0.68,0.68,14385,14,21079
11/01/2022,0.69,0.67,0.67,20066,23,29450
10/01/2022,0.68,0.66,0.67,20956,27,31239
06/01/2022,0.67,0.67,0.67,151,1,225
05/01/2022,0.67,0.67,0.67,300,1,448
02/01/2022,0.67,0.67,0.67,200,1,298
30/12/2021,0.66,0.66,0.66,3960,9,6000
29/12/2021,0.66,0.66,0.66,642,1,973
28/12/2021,0.66,0.65,0.66,1640,3,2500
27/12/2021,0.65,0.65,0.65,650,3,1000
26/12/2021,0.65,0.65,0.65,1287,3,1980
23/12/2021,0.65,0.65,0.65,975,2,1500
22/12/2021,0.66,0.66,0.66,198,1,300
21/12/2021,0.64,0.64,0.64,353,2,552
20/12/2021,0.65,0.65,0.65,650,3,1000
14/12/2021,0.65,0.65,0.65,1560,5,2400
13/12/2021,0.65,0.64,0.65,705,2,1100
12/12/2021,0.65,0.65,0.65,650,2,1000
08/12/2021,0.65,0.65,0.65,163,1,250
07/12/2021,0.65,0.65,0.65,270,2,415
02/12/2021,0.66,0.65,0.66,283,3,435
01/12/2021,0.65,0.64,0.65,32,4,50
28/11/2021,0.64,0.64,0.64,2224,4,3475
22/11/2021,0.65,0.65,0.65,536,6,824
21/11/2021,0.64,0.64,0.64,182,1,284
18/11/2021,0.64,0.64,0.64,160,2,250
17/11/2021,0.66,0.65,0.66,166,3,255
16/11/2021,0.64,0.64,0.64,20,2,32
15/11/2021,0.64,0.64,0.64,182,1,284
14/11/2021,0.65,0.65,0.65,5031,4,7740
11/11/2021,0.65,0.64,0.65,1287,5,2010
10/11/2021,0.65,0.65,0.65,325,1,500
09/11/2021,0.64,0.64,0.64,182,2,284
08/11/2021,0.65,0.64,0.65,8747,13,13463
07/11/2021,0.64,0.64,0.64,128,1,200
